span_id,event_ref,layer,source_witness,printed_page,scan_page,gutenberg_file,gutenberg_line,verbatim_excerpt,agent,relation_to_claim,target_claim,author_claim_hypothesis,verification_status
PM01-S1,PM01,base_narrative,1903_Gutenberg_v1,p423,723,pg10636.txt,34944-34952,"HOW THE GREAT KAAN CAUSETH THE BARK OF TREES, MADE INTO SOMETHING LIKE PAPER, TO PASS FOR MONEY OVER ALL HIS COUNTRY ... he hath his money coined and struck","Marco Polo / Rustichello (trans. Yule)",asserts,paper_money_mulberry_bark_supports_imperial_currency,retain,page-image-verified (p423/scan723)
PM02-S1,PM02,1903_note_third_edition,1903_Gutenberg_v1,p430,732,pg10636.txt,35361-35371,"Dr. Bretschneider ... makes the following remark ... He seems to be mistaken. Paper in China is not made from mulberry-trees but from the Broussonetia papyrifera ... —H. C.",Henri Cordier citing Emil Bretschneider,challenges,material_identification_is_mulberry,revise,page-image-verified (p430/scan732)
PM03-S1,PM03,1920_addendum,1920_Gutenberg_v2,pp70-72,84-86,pg12410.txt,42733-42748,"Regarding Bretschneider's statement, p. 430, Dr. B. Laufer writes to me: This is a singular error of Bretschneider. Marco Polo is perfectly correct: ... paper from the bark of the mulberry tree (Morus alba) ... preferred for the making of paper-money",Henri Cordier transmitting Berthold Laufer (footnote PELLIOT),corrects_prior_note_and_restores,paper_money_mulberry_bark_supports_imperial_currency,retain,page-image-verified (1920 pp70-72/scan84-86)
PM04-S1,PM04,merged_digital_object,Project_Gutenberg_complete,na,na,pg10636.txt+pg12410.txt,na,"[merged object concatenates PM01-S1 narrative + PM02-S1 challenge + PM03-S1 restoration into one linear 'complete Yule-Cordier' reading without layer provenance]",Project Gutenberg,concatenates_layers,cross_layer_concealment_of_editorial_disagreement,defer,object-structure-checked (Gutenberg 10636/12410)
CL01-S1,CL01,base_narrative,1903_Gutenberg_v1,p442,744,pg10636.txt,HTML 11303-11305,"[digital witness: narrative says black stones are dug in Cathay and used as cheaper, longer-burning fuel than wood]",Marco Polo / Rustichello (trans. Yule),asserts,coal_widely_used_in_cathay,retain,"Gutenberg text extracted; registry page anchor verified; exact scan transcription recheck pending"
CL02-S1,CL02,1903_note_third_edition,1903_Gutenberg_v1,p442-443,744+,pg10636.txt,HTML 11308-11312,"[digital witness: note cites Richthofen and projects China's coal endowment into a future redistribution of global wealth and power]",Henry Yule citing Ferdinand von Richthofen,projects_future_interpretation,coal_supports_modern_industrial_forecast,withhold,"Gutenberg text extracted; registry page anchor verified; exact scan transcription recheck pending"
KS01-S1,KS01,base_narrative,1903_Gutenberg_v2,p185,227,pg12410.txt,HTML 3347-3348,"[digital witness: Kinsay particulars are attributed to the queen's written statement and then asserted to have been later witnessed by Marco Polo]",Marco Polo / Rustichello (trans. Yule),attributes_and_confirms,kinsay_details_are_polo_eyewitness,revise,"Gutenberg text extracted; registry page anchor verified; exact scan transcription recheck pending"
KS02-S1,KS02,1903_note_third_edition,1903_Gutenberg_v2,p217,263,pg12410.txt,HTML 3723,"[digital witness: note says only Pauthier's text claims Marco was sent to inspect; the Geographic Text instead says he heard the calculations]",Yule/Cordier comparing Pauthier vs Geographic Text,distinguishes_witnesses,kinsay_fiscal_figures_from_personal_inspection,defer,"Gutenberg text extracted; registry page anchor verified; exact scan transcription recheck pending"
KS03-S1,KS03,1920_addendum,1920_Gutenberg_v2,p97,111,pg12410.txt,HTML 17929-17930,"[digital witness: Tanner treats Polo's omission of Hangzhou's sea wall as strong evidence against a personal visit and proposes a local poetic source]",Henri Cordier quoting P. von Tanner,challenges,kinsay_details_are_polo_eyewitness,revise,"Gutenberg text extracted; registry direction page-image verified; exact scan transcription recheck pending"
KS04-S1,KS04,1920_addendum,1920_Gutenberg_v2,pp96-97,110-111,pg12410.txt,HTML 17917-17928,"[digital witness: Cordier reports Moule's later itinerary and atlas work, including revised identifications connected with Kinsay]",Henri Cordier citing A. C. Moule,updates_identification,kinsay_geographic_identifications,retain,"Gutenberg text extracted; registry page anchors verified; exact scan transcription recheck pending"
